,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.8927348428,173.911502501
1,702302302.302,-1.89594493728,173.204958147
2,704604604.605,-1.92056941103,172.413716476
3,706906906.907,-1.92681084031,171.755029415
4,709209209.209,-1.94271780018,171.006184097
5,711511511.512,-1.9621670798,170.281714855
6,713813813.814,-1.97945651203,169.599398324
7,716116116.116,-1.9999904008,168.763395711
8,718418418.418,-2.00641194842,168.023987637
9,720720720.721,-2.02585650582,167.236506498
10,723023023.023,-2.04158769482,166.511148381
11,725325325.325,-2.05534018281,165.649802072
12,727627627.628,-2.07374527401,164.93150136
13,729929929.93,-2.10263462531,164.087193015
14,732232232.232,-2.11895630573,163.286333364
15,734534534.535,-2.1391791505,162.49640005
16,736836836.837,-2.17063626658,161.651092356
17,739139139.139,-2.17870152423,160.87374139
18,741441441.441,-2.20690781156,160.063706709
19,743743743.744,-2.23020224674,159.198059542
20,746046046.046,-2.26138037493,158.304845858
21,748348348.348,-2.29253457466,157.488907609
22,750650650.651,-2.31827328255,156.564079154
23,752952952.953,-2.34717633132,155.755456651
24,755255255.255,-2.38516699496,154.793152526
25,757557557.558,-2.40139471402,153.881277651
26,759859859.86,-2.44489127945,152.89902958
27,762162162.162,-2.46413563417,152.057768562
28,764464464.464,-2.507355734,151.06657974
29,766766766.767,-2.55080303998,150.104054802
30,769069069.069,-2.59055137692,149.190527617
31,771371371.371,-2.61866465444,148.097562847
32,773673673.674,-2.66307485122,147.073050532
33,775975975.976,-2.7036665141,146.037909021
34,778278278.278,-2.74683398193,145.033259094
35,780580580.581,-2.79545065072,143.920172344
36,782882882.883,-2.85546510577,142.793673311
37,785185185.185,-2.91031071903,141.676796694
38,787487487.487,-2.97185895146,140.573709701
39,789789789.79,-3.03296382941,139.4964672
40,792092092.092,-3.09617402936,138.339370498
41,794394394.394,-3.15748115403,137.062214306
42,796696696.697,-3.2164131682,135.911686856
43,798998998.999,-3.28451298394,134.674903931
44,801301301.301,-3.35886427509,133.387687444
45,803603603.604,-3.43087133537,132.004705215
46,805905905.906,-3.5309526741,130.781629378
47,808208208.208,-3.61525858164,129.418726473
48,810510510.511,-3.7171096562,127.96362989
49,812812812.813,-3.81461004507,126.545488268
50,815115115.115,-3.92163211887,125.154673578
51,817417417.417,-4.04398989506,123.615022595
52,819719719.72,-4.15352435452,122.188924359
53,822022022.022,-4.29426937805,120.591361797
54,824324324.324,-4.41513068428,118.949295486
55,826626626.627,-4.56854538014,117.375246865
56,828928928.929,-4.73774830294,115.701973907
57,831231231.231,-4.90124780931,114.028904025
58,833533533.534,-5.09234499259,112.195427064
59,835835835.836,-5.28000632888,110.55615956
60,838138138.138,-5.48703335131,108.577962838
61,840440440.44,-5.71380580825,106.695356143
62,842742742.743,-5.95553016992,104.70574441
63,845045045.045,-6.22211603852,102.67686313
64,847347347.347,-6.5104517001,100.606436947
65,849649649.65,-6.82939915922,98.5265712561
66,851951951.952,-7.16830818063,96.1875663055
67,854254254.254,-7.5363471894,93.8857169467
68,856556556.557,-7.94433329299,91.4346215685
69,858858858.859,-8.38891638712,88.974604721
70,861161161.161,-8.88206731704,86.3662444308
71,863463463.463,-9.43852542231,83.6952045022
72,865765765.766,-10.0481809735,80.8839554713
73,868068068.068,-10.7576040359,77.8882067596
74,870370370.37,-11.5642846415,74.6476854651
75,872672672.673,-12.4497299974,71.2481954745
76,874974974.975,-13.4766085717,67.5343965453
77,877277277.277,-14.7171801474,63.3732050617
78,879579579.58,-16.1850769131,58.5529053509
79,881881881.882,-17.9852878544,52.6769163801
80,884184184.184,-20.2256667061,44.824994861
81,886486486.486,-23.1410571658,32.3510966076
82,888788788.789,-26.915184163,7.72744237089
83,891091091.091,-28.8205321665,-40.2186086143
84,893393393.393,-25.6190348692,-81.2363996467
85,895695695.696,-21.9924083615,-100.727392064
86,897997997.998,-19.2279198151,-111.796092232
87,900300300.3,-17.0926804917,-119.114223285
88,902602602.603,-15.324364014,-124.93985678
89,904904904.905,-13.9014373122,-129.633452434
90,907207207.207,-12.7033855859,-134.042950054
91,909509509.51,-11.6665960533,-137.76321156
92,911811811.812,-10.7663011566,-141.296404515
93,914114114.114,-9.97569943512,-144.723888747
94,916416416.416,-9.28889143495,-147.826315926
95,918718718.719,-8.67095188152,-150.974694682
96,921021021.021,-8.14151638076,-153.821606145
97,923323323.323,-7.6566058138,-156.632678257
98,925625625.626,-7.22506461135,-159.261090282
99,927927927.928,-6.82726340309,-161.82283323
100,930230230.23,-6.48281592121,-164.31980177
101,932532532.533,-6.15512883408,-166.811984376
102,934834834.835,-5.870897223,-169.158711032
103,937137137.137,-5.61684287208,-171.351994764
104,939439439.439,-5.36107929626,-173.480344786
105,941741741.742,-5.16405665018,-175.805518702
106,944044044.044,-4.96976772358,-177.861308236
107,946346346.346,-4.799174519,-179.733414302
108,948648648.649,-4.64374261618,178.369696875
109,950950950.951,-4.48285809186,176.601700952
110,953253253.253,-4.3367955418,174.899610417
111,955555555.556,-4.2213952469,173.169384081
112,957857857.858,-4.09059398554,171.506153403
113,960160160.16,-3.97382886388,169.948007861
114,962462462.462,-3.88370387598,168.325255374
115,964764764.765,-3.78740505503,166.775940569
116,967067067.067,-3.70287787615,165.302535024
117,969369369.369,-3.61713015222,163.857012478
118,971671671.672,-3.54142432881,162.38887622
119,973973973.974,-3.47787534659,161.010560379
120,976276276.276,-3.41853911897,159.642169865
121,978578578.579,-3.36536220828,158.330334254
122,980880880.881,-3.30213058869,157.051517776
123,983183183.183,-3.25193164148,155.795026929
124,985485485.485,-3.20488756937,154.534422669
125,987787787.788,-3.17043837253,153.32202273
126,990090090.09,-3.13215362605,152.14519565
127,992392392.392,-3.09132115173,150.964889162
128,994694694.695,-3.06117222748,149.890829186
129,996996996.997,-3.02676473072,148.677856327
130,999299299.299,-3.00016653966,147.593596027
131,1001601601.6,-2.97084639126,146.46658397
132,1003903903.9,-2.93823861192,145.325135194
133,1006206206.21,-2.90853422702,144.290714338
134,1008508508.51,-2.88658896888,143.292313397
135,1010810810.81,-2.87337947122,142.195504771
136,1013113113.11,-2.84079343886,141.209586987
137,1015415415.42,-2.80949299178,140.16717327
138,1017717717.72,-2.80280086279,139.202819972
139,1020020020.02,-2.78560186409,138.223628005
140,1022322322.32,-2.76185105813,137.26076016
141,1024624624.62,-2.7479421777,136.293488316
142,1026926926.93,-2.7353441108,135.288882658
143,1029229229.23,-2.72402731532,134.437201696
144,1031531531.53,-2.72665532916,133.500626738
145,1033833833.83,-2.7066498122,132.521740732
146,1036136136.14,-2.69185945468,131.599547797
147,1038438438.44,-2.68648609636,130.756649737
148,1040740740.74,-2.67402705137,129.788322607
149,1043043043.04,-2.65691433494,128.883308096
150,1045345345.35,-2.65659871759,128.016976059
151,1047647647.65,-2.64637932495,127.019749365
152,1049949949.95,-2.63668618144,126.215193973
153,1052252252.25,-2.62995192875,125.301536046
154,1054554554.55,-2.61940735007,124.484937365
155,1056856856.86,-2.6191700211,123.615215118
