,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.23633853153,-158.133810165
1,702302302.302,-1.23057564828,-158.424055564
2,704604604.605,-1.23140608828,-158.578672654
3,706906906.907,-1.23441868029,-158.874099681
4,709209209.209,-1.24065328451,-159.176737048
5,711511511.512,-1.24796521555,-159.421732904
6,713813813.814,-1.24740449241,-159.687324254
7,716116116.116,-1.23970585426,-159.972563156
8,718418418.418,-1.23725761395,-160.263481413
9,720720720.721,-1.24541829569,-160.501868538
10,723023023.023,-1.22941508541,-160.725868053
11,725325325.325,-1.24051102266,-160.994089098
12,727627627.628,-1.24486400224,-161.262773419
13,729929929.93,-1.23918345949,-161.493719053
14,732232232.232,-1.26073174916,-161.837116053
15,734534534.535,-1.26033274654,-161.982133572
16,736836836.837,-1.25926800444,-162.325938949
17,739139139.139,-1.25503576655,-162.539256345
18,741441441.441,-1.25913197303,-162.794039047
19,743743743.744,-1.26443789771,-163.04728761
20,746046046.046,-1.26155508951,-163.236419843
21,748348348.348,-1.25296866066,-163.530588155
22,750650650.651,-1.25795480305,-163.750453721
23,752952952.953,-1.26216292866,-163.997542842
24,755255255.255,-1.26532480332,-164.315869025
25,757557557.558,-1.26916076844,-164.574938827
26,759859859.86,-1.2682918539,-164.808647636
27,762162162.162,-1.27533966156,-165.076946971
28,764464464.464,-1.27539494624,-165.331767707
29,766766766.767,-1.27194734871,-165.507188161
30,769069069.069,-1.28057008509,-165.804164431
31,771371371.371,-1.27690670523,-166.091020853
32,773673673.674,-1.28736114824,-166.30246735
33,775975975.976,-1.27537667566,-166.506831441
34,778278278.278,-1.27629914556,-166.739204662
35,780580580.581,-1.27683235812,-167.004409578
36,782882882.883,-1.27013262968,-167.291117365
37,785185185.185,-1.28742002467,-167.532235091
38,787487487.487,-1.29237334401,-167.77724481
39,789789789.79,-1.29544363495,-168.027899671
40,792092092.092,-1.29181553351,-168.183580034
41,794394394.394,-1.29265019959,-168.484013236
42,796696696.697,-1.2931402384,-168.711939758
43,798998998.999,-1.28935953955,-168.985370094
44,801301301.301,-1.28063715182,-169.213508118
45,803603603.604,-1.29591793622,-169.453187028
46,805905905.906,-1.2905132296,-169.712061498
47,808208208.208,-1.28748665356,-169.923898518
48,810510510.511,-1.29350832936,-170.148069325
49,812812812.813,-1.28772941684,-170.458265447
50,815115115.115,-1.29825733331,-170.708019538
51,817417417.417,-1.30479193711,-170.942855725
52,819719719.72,-1.31049871461,-171.128138161
53,822022022.022,-1.30012912179,-171.430063919
54,824324324.324,-1.30383462804,-171.648170429
55,826626626.627,-1.30338238723,-171.921451065
56,828928928.929,-1.29826020723,-172.098964146
57,831231231.231,-1.3101524653,-172.37328559
58,833533533.534,-1.31527820549,-172.544648741
59,835835835.836,-1.31490576779,-172.816920725
60,838138138.138,-1.31222273737,-173.001308551
61,840440440.44,-1.3186119323,-173.297459888
62,842742742.743,-1.31697752798,-173.482883697
63,845045045.045,-1.31375566925,-173.716942636
64,847347347.347,-1.3255578696,-173.968061264
65,849649649.65,-1.31173546194,-174.235154662
66,851951951.952,-1.31334639927,-174.40544836
67,854254254.254,-1.31585288145,-174.672878666
68,856556556.557,-1.3235297124,-174.941168458
69,858858858.859,-1.32325864204,-175.246345333
70,861161161.161,-1.33564018617,-175.378249645
71,863463463.463,-1.32462469594,-175.644964477
72,865765765.766,-1.32115685161,-175.863620217
73,868068068.068,-1.32239334055,-176.174128565
74,870370370.37,-1.33080094145,-176.295274291
75,872672672.673,-1.32618375059,-176.601385706
76,874974974.975,-1.32026144577,-176.800545356
77,877277277.277,-1.33090822396,-177.010377528
78,879579579.58,-1.34345273086,-177.243544361
79,881881881.882,-1.33536444542,-177.439396932
80,884184184.184,-1.33464925437,-177.661687196
81,886486486.486,-1.33390715202,-177.899454227
82,888788788.789,-1.33934558299,-178.095419298
83,891091091.091,-1.34575917497,-178.323105556
84,893393393.393,-1.34415862421,-178.525627278
85,895695695.696,-1.35764272856,-178.732952883
86,897997997.998,-1.35192059087,-178.997802762
87,900300300.3,-1.35941267424,-179.311974348
88,902602602.603,-1.34904140904,-179.448690692
89,904904904.905,-1.34920900895,-179.717101757
90,907207207.207,-1.34960944079,-179.882744366
91,909509509.51,-1.35223648065,179.859793923
92,911811811.812,-1.36048643959,179.704643569
93,914114114.114,-1.35974277099,179.51866602
94,916416416.416,-1.35671472731,179.303546643
95,918718718.719,-1.34590903418,179.046764891
96,921021021.021,-1.36000960046,178.783894027
97,923323323.323,-1.36671755562,178.592916383
98,925625625.626,-1.36003054372,178.364668466
99,927927927.928,-1.35867985628,178.183694632
100,930230230.23,-1.36459281705,177.940403398
101,932532532.533,-1.38120874113,177.747000394
102,934834834.835,-1.37823738883,177.510804832
103,937137137.137,-1.36387394697,177.321836163
104,939439439.439,-1.3615338218,177.050370892
105,941741741.742,-1.37729026739,176.813091574
106,944044044.044,-1.37711361973,176.644654321
107,946346346.346,-1.38294696336,176.424988561
108,948648648.649,-1.37798068,176.192092148
109,950950950.951,-1.38477010319,175.998442007
110,953253253.253,-1.38265818517,175.816533368
111,955555555.556,-1.39061200786,175.640652648
112,957857857.858,-1.38557119789,175.425120945
113,960160160.16,-1.38416283325,175.271429144
114,962462462.462,-1.37809936529,175.012192099
115,964764764.765,-1.38131150234,174.821015552
