,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.18574266701,-158.984285659
1,702302302.302,-1.1862329011,-159.25219001
2,704604604.605,-1.19245469896,-159.473122274
3,706906906.907,-1.1922187056,-159.831606041
4,709209209.209,-1.20284513552,-160.062703271
5,711511511.512,-1.20423901046,-160.340099041
6,713813813.814,-1.20387101751,-160.589253957
7,716116116.116,-1.19236390087,-160.881091526
8,718418418.418,-1.20415279434,-161.046699025
9,720720720.721,-1.19570145923,-161.368707552
10,723023023.023,-1.19827739655,-161.672564236
11,725325325.325,-1.1936248083,-161.921142179
12,727627627.628,-1.20416272107,-162.181950546
13,729929929.93,-1.19918529969,-162.359826167
14,732232232.232,-1.20406542162,-162.666402404
15,734534534.535,-1.2084378572,-162.990291005
16,736836836.837,-1.21518320535,-163.26827343
17,739139139.139,-1.21122246326,-163.497201169
18,741441441.441,-1.21317163404,-163.717879366
19,743743743.744,-1.2089609677,-163.957110039
20,746046046.046,-1.21256586708,-164.198970338
21,748348348.348,-1.21674059439,-164.480651487
22,750650650.651,-1.21664447565,-164.779491426
23,752952952.953,-1.21651368582,-165.011778998
24,755255255.255,-1.2201922454,-165.294101711
25,757557557.558,-1.22498456049,-165.543982333
26,759859859.86,-1.22705614132,-165.733221998
27,762162162.162,-1.22205378821,-166.043783216
28,764464464.464,-1.21818614412,-166.338821043
29,766766766.767,-1.22841779866,-166.551073498
30,769069069.069,-1.22654932287,-166.788788049
31,771371371.371,-1.22510394174,-167.035582122
32,773673673.674,-1.22679200536,-167.307158546
33,775975975.976,-1.2217022128,-167.587072872
34,778278278.278,-1.22797536036,-167.846636532
35,780580580.581,-1.22627583846,-168.056975297
36,782882882.883,-1.22686480857,-168.34099491
37,785185185.185,-1.24206926953,-168.639633322
38,787487487.487,-1.23146715997,-168.913764566
39,789789789.79,-1.24946532387,-169.151467128
40,792092092.092,-1.2470855161,-169.280269196
41,794394394.394,-1.24584403852,-169.542776063
42,796696696.697,-1.24922105038,-169.830296074
43,798998998.999,-1.23864506285,-170.114543956
44,801301301.301,-1.24660876926,-170.326427377
45,803603603.604,-1.2374343983,-170.510090533
46,805905905.906,-1.23592878565,-170.830488946
47,808208208.208,-1.25083992348,-171.039174507
48,810510510.511,-1.24448538941,-171.348039796
49,812812812.813,-1.24309491108,-171.519684966
50,815115115.115,-1.25002202381,-171.774206724
51,817417417.417,-1.24324760527,-172.038350851
52,819719719.72,-1.25774377338,-172.32224083
53,822022022.022,-1.25034674055,-172.525233808
54,824324324.324,-1.25726016377,-172.790257678
55,826626626.627,-1.24534034884,-173.019045931
56,828928928.929,-1.2470901614,-173.277468379
57,831231231.231,-1.25646605333,-173.507195162
58,833533533.534,-1.26894278967,-173.725657116
59,835835835.836,-1.26175220305,-173.973920786
60,838138138.138,-1.27382494459,-174.156348853
61,840440440.44,-1.26482333163,-174.44428342
62,842742742.743,-1.25904322764,-174.666050099
63,845045045.045,-1.26161495327,-174.908484942
64,847347347.347,-1.26903487909,-175.131263299
65,849649649.65,-1.25986480481,-175.426302346
66,851951951.952,-1.258050168,-175.663817286
67,854254254.254,-1.26496382787,-175.869710783
68,856556556.557,-1.26954089615,-176.115000858
69,858858858.859,-1.27155578993,-176.332107775
